;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 9/11/2011 11:05:21 AM
;----------------------------------------------

;Address Opcode 	ASM
;remote.c,293 :: 		else if(lcd_data == 0x0D)
0x08F4	0x8108    	LDD        R16, Y+0
0x08F6	0x300D    	CPI        R16, 13
0x08F8	0xF451    	BRNE       L_main52
L__main125:
;remote.c,295 :: 		Lcd_Out(1, 1, "You pressed 5!!");
0x08FA	0xEBB1    	LDI        R27, lo_addr(?lstr6_remote+0)
0x08FC	0x2E4B    	MOV        R4, R27
0x08FE	0xE0B0    	LDI        R27, hi_addr(?lstr6_remote+0)
0x0900	0x2E5B    	MOV        R5, R27
0x0902	0xE0B1    	LDI        R27, 1
0x0904	0x2E3B    	MOV        R3, R27
0x0906	0xE0B1    	LDI        R27, 1
0x0908	0x2E2B    	MOV        R2, R27
0x090A	0xDC3A    	RCALL      _Lcd_Out+0
;remote.c,296 :: 		}
0x090C	0xC01C    	RJMP       L_main53
L_main52:
;remote.c,297 :: 		else if(lcd_data == 0x0E)
0x090E	0x8108    	LDD        R16, Y+0
0x0910	0x300E    	CPI        R16, 14
0x0912	0xF451    	BRNE       L_main54
L__main126:
;remote.c,299 :: 		Lcd_Out(1, 1, "You pressed 6!!");
0x0914	0xEDB1    	LDI        R27, lo_addr(?lstr7_remote+0)
0x0916	0x2E4B    	MOV        R4, R27
0x0918	0xE0B0    	LDI        R27, hi_addr(?lstr7_remote+0)
0x091A	0x2E5B    	MOV        R5, R27
0x091C	0xE0B1    	LDI        R27, 1
0x091E	0x2E3B    	MOV        R3, R27
0x0920	0xE0B1    	LDI        R27, 1
0x0922	0x2E2B    	MOV        R2, R27
0x0924	0xDC2D    	RCALL      _Lcd_Out+0
;remote.c,300 :: 		}
0x0926	0xC00F    	RJMP       L_main55
L_main54:
;remote.c,303 :: 		Lcd_Out(1, 1, "You pressed:");
0x0928	0xEAB4    	LDI        R27, lo_addr(?lstr8_remote+0)
0x092A	0x2E4B    	MOV        R4, R27
0x092C	0xE0B0    	LDI        R27, hi_addr(?lstr8_remote+0)
0x092E	0x2E5B    	MOV        R5, R27
0x0930	0xE0B1    	LDI        R27, 1
0x0932	0x2E3B    	MOV        R3, R27
0x0934	0xE0B1    	LDI        R27, 1
0x0936	0x2E2B    	MOV        R2, R27
0x0938	0xDC23    	RCALL      _Lcd_Out+0
;remote.c,304 :: 		Lcd_Chr(1, 14, lcd_data);
0x093A	0x8048    	LDD        R4, Y+0
0x093C	0xE0BE    	LDI        R27, 14
0x093E	0x2E3B    	MOV        R3, R27
0x0940	0xE0B1    	LDI        R27, 1
0x0942	0x2E2B    	MOV        R2, R27
0x0944	0xDBC8    	RCALL      _Lcd_Chr+0
;remote.c,305 :: 		}
L_main55:
L_main53:
L_main51:
L_main49:
L_main47:
L_main45:
;remote.c,306 :: 		SREG_I_bit = 1;
0x0946	0xB7BF    	IN         R27, SREG_I_bit+0
0x0948	0x68B0    	SBR        R27, 128
0x094A	0xBFBF    	OUT        SREG_I_bit+0, R27
;remote.c,307 :: 		}
0x094C	0xCF95    	RJMP       L_main42
;remote.c,308 :: 		}
L_end_main:
0x094E	0xCFFF    	RJMP       L_end_main
; end of _main
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x02D2	0x003B91B0  	LDS        R27, LCD_EN+0
0x02D6	0x7FB7    	CBR        R27, 8
0x02D8	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,87 :: 		
0x02DC	0x003B91B0  	LDS        R27, LCD_RS+0
0x02E0	0x7FBB    	CBR        R27, 4
0x02E2	0x003B93B0  	STS        LCD_RS+0, R27
;__Lib_Lcd.c,88 :: 		
0x02E6	0x003B91B0  	LDS        R27, LCD_D7+0
0x02EA	0x77BF    	CBR        R27, 128
0x02EC	0x003B93B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,89 :: 		
0x02F0	0x003B91B0  	LDS        R27, LCD_D6+0
0x02F4	0x7BBF    	CBR        R27, 64
0x02F6	0x003B93B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,90 :: 		
0x02FA	0x003B91B0  	LDS        R27, LCD_D5+0
0x02FE	0x7DBF    	CBR        R27, 32
0x0300	0x003B93B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,91 :: 		
0x0304	0x003B91B0  	LDS        R27, LCD_D4+0
0x0308	0x7EBF    	CBR        R27, 16
0x030A	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,93 :: 		
0x030E	0x003A91B0  	LDS        R27, LCD_EN_Direction+0
0x0312	0x60B8    	SBR        R27, 8
0x0314	0x003A93B0  	STS        LCD_EN_Direction+0, R27
;__Lib_Lcd.c,94 :: 		
0x0318	0x003A91B0  	LDS        R27, LCD_RS_Direction+0
0x031C	0x60B4    	SBR        R27, 4
0x031E	0x003A93B0  	STS        LCD_RS_Direction+0, R27
;__Lib_Lcd.c,95 :: 		
0x0322	0x003A91B0  	LDS        R27, LCD_D4_Direction+0
0x0326	0x61B0    	SBR        R27, 16
0x0328	0x003A93B0  	STS        LCD_D4_Direction+0, R27
;__Lib_Lcd.c,96 :: 		
0x032C	0x003A91B0  	LDS        R27, LCD_D5_Direction+0
0x0330	0x62B0    	SBR        R27, 32
0x0332	0x003A93B0  	STS        LCD_D5_Direction+0, R27
;__Lib_Lcd.c,97 :: 		
0x0336	0x003A91B0  	LDS        R27, LCD_D6_Direction+0
0x033A	0x64B0    	SBR        R27, 64
0x033C	0x003A93B0  	STS        LCD_D6_Direction+0, R27
;__Lib_Lcd.c,98 :: 		
0x0340	0x003A91B0  	LDS        R27, LCD_D7_Direction+0
0x0344	0x68B0    	SBR        R27, 128
0x0346	0x003A93B0  	STS        LCD_D7_Direction+0, R27
;__Lib_Lcd.c,100 :: 		
0x034A	0xDEBD    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,101 :: 		
0x034C	0xDEBC    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,102 :: 		
0x034E	0xDEBB    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,105 :: 		
0x0350	0x003B91B0  	LDS        R27, LCD_D5+0
0x0354	0x62B0    	SBR        R27, 32
0x0356	0x003B93B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,106 :: 		
0x035A	0x003B91B0  	LDS        R27, LCD_D4+0
0x035E	0x61B0    	SBR        R27, 16
0x0360	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,107 :: 		
0x0364	0x003B91B0  	LDS        R27, LCD_EN+0
0x0368	0x60B8    	SBR        R27, 8
0x036A	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,108 :: 		
0x036E	0xDEA6    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,109 :: 		
0x0370	0x003B91B0  	LDS        R27, LCD_EN+0
0x0374	0x7FB7    	CBR        R27, 8
0x0376	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,110 :: 		
0x037A	0xDEA5    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,112 :: 		
0x037C	0x003B91B0  	LDS        R27, LCD_EN+0
0x0380	0x60B8    	SBR        R27, 8
0x0382	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,113 :: 		
0x0386	0xDE9A    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,114 :: 		
0x0388	0x003B91B0  	LDS        R27, LCD_EN+0
0x038C	0x7FB7    	CBR        R27, 8
0x038E	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,115 :: 		
0x0392	0xDE99    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,117 :: 		
0x0394	0x003B91B0  	LDS        R27, LCD_EN+0
0x0398	0x60B8    	SBR        R27, 8
0x039A	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,118 :: 		
0x039E	0xDE8E    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,119 :: 		
0x03A0	0x003B91B0  	LDS        R27, LCD_EN+0
0x03A4	0x7FB7    	CBR        R27, 8
0x03A6	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,120 :: 		
0x03AA	0xDE8D    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,123 :: 		
0x03AC	0x003B91B0  	LDS        R27, LCD_D4+0
0x03B0	0x7EBF    	CBR        R27, 16
0x03B2	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,124 :: 		
0x03B6	0x003B91B0  	LDS        R27, LCD_EN+0
0x03BA	0x60B8    	SBR        R27, 8
0x03BC	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,125 :: 		
0x03C0	0xDE7D    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,126 :: 		
0x03C2	0x003B91B0  	LDS        R27, LCD_EN+0
0x03C6	0x7FB7    	CBR        R27, 8
0x03C8	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,127 :: 		
0x03CC	0xDE7C    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,130 :: 		
0x03CE	0x003B91B0  	LDS        R27, LCD_EN+0
0x03D2	0x60B8    	SBR        R27, 8
0x03D4	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,131 :: 		
0x03D8	0xDE71    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,132 :: 		
0x03DA	0x003B91B0  	LDS        R27, LCD_EN+0
0x03DE	0x7FB7    	CBR        R27, 8
0x03E0	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,134 :: 		
0x03E4	0x003B91B0  	LDS        R27, LCD_D5+0
0x03E8	0x7DBF    	CBR        R27, 32
0x03EA	0x003B93B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,135 :: 		
0x03EE	0x003B91B0  	LDS        R27, LCD_D7+0
0x03F2	0x68B0    	SBR        R27, 128
0x03F4	0x003B93B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,136 :: 		
0x03F8	0x003B91B0  	LDS        R27, LCD_EN+0
0x03FC	0x60B8    	SBR        R27, 8
0x03FE	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,137 :: 		
0x0402	0xDE5C    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,138 :: 		
0x0404	0x003B91B0  	LDS        R27, LCD_EN+0
0x0408	0x7FB7    	CBR        R27, 8
0x040A	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,139 :: 		
0x040E	0xDE5B    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,142 :: 		
0x0410	0x003B91B0  	LDS        R27, LCD_D7+0
0x0414	0x77BF    	CBR        R27, 128
0x0416	0x003B93B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,143 :: 		
0x041A	0x003B91B0  	LDS        R27, LCD_D4+0
0x041E	0x61B0    	SBR        R27, 16
0x0420	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,144 :: 		
0x0424	0x003B91B0  	LDS        R27, LCD_EN+0
0x0428	0x60B8    	SBR        R27, 8
0x042A	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,145 :: 		
0x042E	0xDE46    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,146 :: 		
0x0430	0x003B91B0  	LDS        R27, LCD_EN+0
0x0434	0x7FB7    	CBR        R27, 8
0x0436	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,148 :: 		
0x043A	0x003B91B0  	LDS        R27, LCD_D4+0
0x043E	0x7EBF    	CBR        R27, 16
0x0440	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,149 :: 		
0x0444	0x003B91B0  	LDS        R27, LCD_EN+0
0x0448	0x60B8    	SBR        R27, 8
0x044A	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,150 :: 		
0x044E	0xDE36    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,151 :: 		
0x0450	0x003B91B0  	LDS        R27, LCD_EN+0
0x0454	0x7FB7    	CBR        R27, 8
0x0456	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,152 :: 		
0x045A	0xDE35    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,155 :: 		
0x045C	0x003B91B0  	LDS        R27, LCD_EN+0
0x0460	0x60B8    	SBR        R27, 8
0x0462	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,156 :: 		
0x0466	0xDE2A    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,157 :: 		
0x0468	0x003B91B0  	LDS        R27, LCD_EN+0
0x046C	0x7FB7    	CBR        R27, 8
0x046E	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,159 :: 		
0x0472	0x003B91B0  	LDS        R27, LCD_D4+0
0x0476	0x61B0    	SBR        R27, 16
0x0478	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,160 :: 		
0x047C	0x003B91B0  	LDS        R27, LCD_EN+0
0x0480	0x60B8    	SBR        R27, 8
0x0482	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,161 :: 		
0x0486	0xDE1A    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,162 :: 		
0x0488	0x003B91B0  	LDS        R27, LCD_EN+0
0x048C	0x7FB7    	CBR        R27, 8
0x048E	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,163 :: 		
0x0492	0xDE19    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,166 :: 		
0x0494	0x003B91B0  	LDS        R27, LCD_D4+0
0x0498	0x7EBF    	CBR        R27, 16
0x049A	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,167 :: 		
0x049E	0x003B91B0  	LDS        R27, LCD_EN+0
0x04A2	0x60B8    	SBR        R27, 8
0x04A4	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,168 :: 		
0x04A8	0xDE09    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,169 :: 		
0x04AA	0x003B91B0  	LDS        R27, LCD_EN+0
0x04AE	0x7FB7    	CBR        R27, 8
0x04B0	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,171 :: 		
0x04B4	0x003B91B0  	LDS        R27, LCD_D7+0
0x04B8	0x68B0    	SBR        R27, 128
0x04BA	0x003B93B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,172 :: 		
0x04BE	0x003B91B0  	LDS        R27, LCD_D6+0
0x04C2	0x64B0    	SBR        R27, 64
0x04C4	0x003B93B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,173 :: 		
0x04C8	0x003B91B0  	LDS        R27, LCD_D5+0
0x04CC	0x62B0    	SBR        R27, 32
0x04CE	0x003B93B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,174 :: 		
0x04D2	0x003B91B0  	LDS        R27, LCD_D4+0
0x04D6	0x61B0    	SBR        R27, 16
0x04D8	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,175 :: 		
0x04DC	0x003B91B0  	LDS        R27, LCD_EN+0
0x04E0	0x60B8    	SBR        R27, 8
0x04E2	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,176 :: 		
0x04E6	0xDDEA    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,177 :: 		
0x04E8	0x003B91B0  	LDS        R27, LCD_EN+0
0x04EC	0x7FB7    	CBR        R27, 8
0x04EE	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,179 :: 		
0x04F2	0xDDE9    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,181 :: 		
0x04F4	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x04F8	0x60B1    	SBR        R27, 1
0x04FA	0x00E993B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x04FE	0x9508    	RET
; end of _Lcd_Init
_Delay_5500us:
;__Lib_Delays.c,30 :: 		void Delay_5500us() {
;__Lib_Delays.c,31 :: 		Delay_us(5500);
0x00C6	0xE713    	LDI        R17, 115
0x00C8	0xE408    	LDI        R16, lo_addr(OCR1BL)
L_Delay_5500us12:
0x00CA	0x950A    	DEC        R16
0x00CC	0xF7F1    	BRNE       L_Delay_5500us12
0x00CE	0x951A    	DEC        R17
0x00D0	0xF7E1    	BRNE       L_Delay_5500us12
0x00D2	0x0000    	NOP
;__Lib_Delays.c,32 :: 		}
L_end_Delay_5500us:
0x00D4	0x9508    	RET
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,6 :: 		void Delay_1us() {
;__Lib_Delays.c,7 :: 		Delay_us(1);
0x00BC	0xE005    	LDI        R16, lo_addr(R5)
L_Delay_1us0:
0x00BE	0x950A    	DEC        R16
0x00C0	0xF7F1    	BRNE       L_Delay_1us0
0x00C2	0x0000    	NOP
;__Lib_Delays.c,8 :: 		}
L_end_Delay_1us:
0x00C4	0x9508    	RET
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x020E	0xFA27    	BST        R2, 7
0x0210	0x003B91B0  	LDS        R27, LCD_D7+0
0x0214	0xF9B7    	BLD        R27, 7
0x0216	0x003B93B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,21 :: 		
0x021A	0xFA26    	BST        R2, 6
0x021C	0x003B91B0  	LDS        R27, LCD_D6+0
0x0220	0xF9B6    	BLD        R27, 6
0x0222	0x003B93B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,22 :: 		
0x0226	0xFA25    	BST        R2, 5
0x0228	0x003B91B0  	LDS        R27, LCD_D5+0
0x022C	0xF9B5    	BLD        R27, 5
0x022E	0x003B93B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,23 :: 		
0x0232	0xFA24    	BST        R2, 4
0x0234	0x003B91B0  	LDS        R27, LCD_D4+0
0x0238	0xF9B4    	BLD        R27, 4
0x023A	0x003B93B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,25 :: 		
0x023E	0x00E991B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0242	0x003B9000  	LDS        R0, LCD_RS+0
0x0246	0x94E8    	CLT
0x0248	0xFFB0    	SBRS       R27, 0
0x024A	0x9468    	SET
0x024C	0xF802    	BLD        R0, 2
0x024E	0x003B9200  	STS        LCD_RS+0, R0
;__Lib_Lcd.c,28 :: 		
0x0252	0x003B91B0  	LDS        R27, LCD_EN+0
0x0256	0x60B8    	SBR        R27, 8
0x0258	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,29 :: 		
0x025C	0xDF2F    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,30 :: 		
0x025E	0x003B91B0  	LDS        R27, LCD_EN+0
0x0262	0x7FB7    	CBR        R27, 8
0x0264	0x003B93B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,33 :: 		
0x0268	0xFA23    	BST        R2, 3
0x026A	0x003B91B0  	LDS        R27, LCD_D7+0
0x026E	0xF9B7    	BLD        R27, 7
0x0270	0x003B93B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,34 :: 		
0x0274	0xFA22    	BST        R2, 2
0x0276	0x003B91B0  	LDS        R27, LCD_D6+0
0x027A	0xF9B6    	BLD        R27, 6
0x027C	0x003B93B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,35 :: 		
0x0280	0xFA21    	BST        R2, 1
0x0282	0x003B91B0  	LDS        R27, LCD_D5+0
0x0286	0xF9B5    	BLD        R27, 5
